config,topic_id,top_words
BERTopic+HDBSCAN (SciBERT),2,"agent, workflow, dependency, execution, code, framework, program, llm, knowledge, skill"
BERTopic+HDBSCAN (SciBERT),3,"attack, trigger, malicious, attacker, detection, defense, vulnerability, system, semantic, security"
BERTopic+HDBSCAN (SciBERT),4,"image, object, motion, reconstruction, scene, video, geometry, generation, target, semantic"
BERTopic+HDBSCAN (SciBERT),5,"query, semantic, graph, base, index, interval, schema, database, table, datum"
BERTopic+HDBSCAN (SciBERT),6,"problem, algorithm, quantum, prove, cryptographic, time, give, result, proof, bound"
BERTopic+HDBSCAN (SciBERT),7,"evaluator, paper, risk, software, model, tool, governance, evaluation, measurement, copy"
BERTopic+HDBSCAN (SciBERT),8,"action, visual, policy, trajectory, reward, attention, robot, real, flow, simulation"
BERTopic+HDBSCAN (SciBERT),9,"process, country, knowledge, study, api, research, impact, team, need, inclusive"
BERTopic+HDBSCAN (SciBERT),10,"stability, method, finite, adam, stochastic, covariance, framework, rank, reinforcementlearning, optimization"
BERTopic+HDBSCAN (SciBERT),11,"workload, algorithm, cpu, offline, multimodal, performance, testing, frequency, core, tuning"
BERTopic+UMAP+KMeans (SciBERT),0,"model, framework, visual, image, base, representation, propose, method, task, learn"
BERTopic+UMAP+KMeans (SciBERT),1,"attack, model, base, detection, study, llm, security, method, dataset, framework"
BERTopic+UMAP+KMeans (SciBERT),2,"agent, system, framework, execution, llm, workflow, skill, model, task, datum"
BERTopic+UMAP+KMeans (SciBERT),3,"llm, model, agent, code, benchmark, prompt, tool, task, evaluation, evaluate"
BERTopic+UMAP+KMeans (SciBERT),4,"gpu, model, memory, system, workload, base, latency, performance, cost, parallel"
BERTopic+UMAP+KMeans (SciBERT),5,"model, llm, task, training, token, base, evidence, train, improve, speech"
BERTopic+UMAP+KMeans (SciBERT),6,"query, base, graph, datum, semantic, system, database, schema, workload, table"
BERTopic+UMAP+KMeans (SciBERT),7,"model, memory, repair, retrieval, match, single, agent, state, recall, boundary"
BERTopic+UMAP+KMeans (SciBERT),8,"problem, algorithm, method, prove, quantum, result, model, exact, privacy, function"
